repo,category,issue_number,issue_url,title,source,type,suggested_labels,difficulty,summary,why_good_first_issue,affected_files,repro_tier,repro_steps,repro_result,fix_hint,notes
canonical/cos-tool,lib,44,https://github.com/canonical/cos-tool/issues/44,Add unit tests for untested packages (cmd/root and pkg/lokiruler are at 0% coverage),existing-open-issue,cleanup,Type: Enhancement; good first issue; Status: Help Wanted,easy,"The maintainer-filed issue lists several packages at 0.0% coverage. Excluding the vendored-from-Loki trees (pkg/logql/*), the genuinely cos-tool-owned untested code is the CLI wiring in cmd/root (cmd/root/root.go, 0.0%) and the Loki rule loader in pkg/lokiruler (pkg/lokiruler/compat.go, 0.0%). A beginner can add table-driven tests: for cmd/root, exercise the cli.App commands (transform / validate-rules / validate-config) and the Before hook that selects PromQL vs LogQL via the --format flag; for pkg/lokiruler, feed Load() valid and invalid rule YAML and assert the returned (*rulefmt.RuleGroups, []error).","Pure additive work (no behaviour change), naturally scoped to a single package per PR, and Go's standard testing makes table-driven tests approachable. The repo already has good example tests in pkg/tool/*_test.go to copy the style from. Maintainer explicitly asked for this, so it is wanted and unlikely to be contested. Clear 'done': new _test.go files raising coverage for cmd/root and/or pkg/lokiruler above 0%.",cmd/root/root.go (add cmd/root/root_test.go); pkg/lokiruler/compat.go (add pkg/lokiruler/compat_test.go),inspection,"Go is NOT installed on VM, so cannot run `go test ./... -coverprofile`. On VM cos: clone repo, then `find . -name '*_test.go' -not -path './pkg/logql/*'` (lists only pkg/tool/*) and `find cmd -name '*_test.go'` (empty) and `ls pkg/lokiruler` (only compat.go).","confirmed-by-inspection: the only non-vendored test files are six files under pkg/tool/ (logql_transform_test.go, promql_alert_test.go, promql_transform_test.go, promql_config_check_test.go, logql_alert_test.go, common_test.go). `find cmd -name '*_test.go'` returns nothing -> cmd/root/root.go is untested (matches the issue's 'cmd/root coverage: 0.0%'). pkg/lokiruler/ contains only compat.go, no test -> matches 'lokiruler 0.0%'. So the issue's coverage gaps are still present on current main; it is NOT obsolete.","Start with the smallest target: add pkg/lokiruler/compat_test.go calling lokiruler.Load() on a small valid rule set (expect 0 errors) and on a malformed one (expect non-empty []error). Then cmd/root/root_test.go: build the cli.App (or call Execute with crafted os.Args via a helper) and assert transform output and validate-rules exit behaviour, including the --format promql|logql branch in the Before hook. Mirror the table-driven structure already used in pkg/tool/promql_transform_test.go.","Scope guidance for the contributor: do NOT target the pkg/logql/* packages the issue also lists (jsonexpr, logfmt, pattern, syntax, util, logqlmodel) -- those are vendored copies of Grafana Loki internals and are not the right place for cos-tool's own tests; focus on cmd/root and pkg/lokiruler. Go absent so coverage numbers were verified structurally (presence/absence of _test.go) rather than by running `go test`."
canonical/grafana-agent-k8s-operator,charm,339,https://github.com/canonical/grafana-agent-k8s-operator/issues/339,Add log_level config option,existing-open-issue,enhancement,Type: Enhancement; good first issue,easy,"The k8s Grafana Agent charm hardcodes the agent server log level to 'info' in src/grafana_agent.py (_server_config: {""log_level"": ""info""}). The machine charm already added a user-facing `log_level` config option (canonical/grafana-agent-operator PR #217) accepting debug/info/warn/error and falling back to info on invalid input. This issue asks to bring the same option to the k8s charm for consistency.","Small, well-scoped feature with an existing reference implementation to copy (machine charm PR #217). The render site is a single hardcoded line and the charm already reads other options via self.config[...]. Clear definition of done: add the option in charmcraft.yaml, wire it into _server_config with validation+fallback, add a unit/scenario test. No deep architecture knowledge required.","charmcraft.yaml (options block, ~line 125); src/grafana_agent.py:896 (hardcoded log_level); tests/unit or tests/scenario",unit,"multipass exec cos -- git clone --depth 80 https://github.com/canonical/grafana-agent-k8s-operator ~/work/grafana-agent-k8s-operator; multipass exec cos -- bash -lc 'cd ~/work/grafana-agent-k8s-operator && export PATH=$HOME/.local/bin:$PATH && tox -e unit'; prove the gap: grep -n 'log_level' charmcraft.yaml (none) and sed -n '890,900p' src/grafana_agent.py (hardcoded).","confirmed-by-inspection + green baseline: `tox -e unit` => unit: OK (28.8s), TOTAL coverage 78% (suite passes). charmcraft.yaml options block (tls_insecure_skip_verify, always_enable_*, tracing_sample_rate_*) has NO log_level option. src/grafana_agent.py:896 hardcodes server_config = {""log_level"": ""info""} with no way to override. Reference impl exists: canonical/grafana-agent-operator PR #217 (levels debug/info/warn/error, invalid -> info + WARNING).","Add to charmcraft.yaml options: log_level (string, default 'info', describe allowed values debug/info/warn/error). In src/grafana_agent.py _server_config, replace the literal 'info' with a validated read of self.config['log_level'] (lowercase, validate against {debug,info,warn,error}, fall back to 'info' and logger.warning on invalid), mirroring grafana-agent-operator PR #217. Add a test setting log_level=error and asserting it lands in the rendered server config.","Issue is Type: Enhancement + Status: Triage but is genuinely beginner-friendly with a concrete reference PR. Verified the related #131 (positions_dir) is already addressed (charm.py:261 returns '/run') and #230 (tox pollution) is effectively obsolete (post-`tox -e unit` git status is clean; the 3 alert/dashboard dirs are gitignored and not created at repo root), so neither was picked."
canonical/grafana-agent-k8s-operator,charm,,,Copy-paste docstring and wrong NotImplementedError message in GrafanaAgentCharm abstract methods,self-identified,cleanup,Type: Cleanup; good first issue,easy,"In the abstract-methods section of src/grafana_agent.py (base class GrafanaAgentCharm), two stale copy-paste defects exist: (1) `_additional_log_configs` has the docstring 'Additional per-type integrations to inject.' which is identical to `_additional_integrations` above it and does not describe log configs; (2) `is_command_changed` raises NotImplementedError('Please override the command method') naming the wrong method ('command' instead of 'is_command_changed'), unlike every other abstract method which names itself correctly.","Pure documentation/accuracy cleanup with an unambiguous correct form derived from the surrounding code. No behavior change, no architecture knowledge needed. Each sibling abstract method provides the correct pattern to follow. Clear done: docstring describes log configs; error message names is_command_changed.",src/grafana_agent.py:537 (wrong docstring); src/grafana_agent.py:563 (wrong NotImplementedError message),inspection,"multipass exec cos -- bash -lc 'cd ~/work/grafana-agent-k8s-operator && sed -n ""525,567p"" src/grafana_agent.py'; grep -n 'Additional per-type integrations to inject\|Please override the command method' src/grafana_agent.py","confirmed-by-inspection: src/grafana_agent.py line 532 (_additional_integrations) and line 537 (_additional_log_configs) carry the IDENTICAL docstring 'Additional per-type integrations to inject.'; the 537 copy is wrong for a log-configs method. Line 563: is_command_changed (defined line 561) raises NotImplementedError('Please override the command method') -- wrong method name; all sibling abstract methods (restart->'restart method', metrics_jobs->'metrics_jobs method', etc.) correctly name themselves. Subclass overrides exist (charm.py:116 is_command_changed, charm.py:198 _additional_log_configs) so these are the developer-facing contract.",Change the line 537 docstring to something like 'Additional per-type log configs to inject.'; change the line 563 message to 'Please override the is_command_changed method'. Optional: run `tox -e lint` to confirm no regressions (text-only change).,"Self-identified because the open issues are mostly obsolete/vague: #230 effectively fixed, #131 already addressed, #41 (config comments) is Priority: Low and underspecified (yaml.safe_dump output has no comment support without ruamel). This cleanup is a cleaner, verifiable beginner task. Unit suite green (28 tests OK)."
canonical/grafana-agent-operator,charm,179,https://github.com/canonical/grafana-agent-operator/issues/179,The exception handling in `_update_config` is wrong.,existing-open-issue,bug,"good first issue, Type: Bug",easy,"In _update_config, after writing the config the code calls self.restart() and wraps it in `except GrafanaAgentReloadError` and `except APIError`. But for this machine (snap) charm restart() raises GrafanaAgentServiceError, not GrafanaAgentReloadError; APIError is a Pebble exception left over from the k8s charm and can never be raised here. So a real restart failure is not caught (and even if it were, BlockedStatus is wrong since the user cannot fix it - it should surface as an error).","Small, precisely-described bug confined to one method; the issue body enumerates exactly the three things to change; fixable without architectural knowledge; very low existing test coverage of this path (only tests/unit/test_cert_transfer.py touches restart) so adding a focused unit test is a natural, self-contained deliverable.","src/grafana_agent.py:642-654, src/grafana_agent.py:405, src/charm.py:431",unit,"On VM cos: git clone --depth 80 into ~/work; `sed -n '642,654p' src/grafana_agent.py` to read the try/except; `grep -n 'def restart' src/grafana_agent.py src/charm.py` and read the concrete restart() to see which exception it raises; `tox -l` confirms a `unit` env exists for adding a regression test.","Confirmed on HEAD ad6f720. src/grafana_agent.py:644 calls `self.restart()`; src/grafana_agent.py:647 `except GrafanaAgentReloadError as e:` -> BlockedStatus; src/grafana_agent.py:650 `except APIError as e:` -> WaitingStatus. The base restart() (src/grafana_agent.py:405) is abstract; the concrete override raises GrafanaAgentServiceError (src/charm.py:431 and :438 'Failed to restart grafana-agent'). Therefore the caught exception types do not match what restart() actually raises -> a restart failure propagates uncaught. APIError is imported from ops.pebble (src/grafana_agent.py:40), a Pebble-only error, confirming it is dead handling in this snap charm. Code search shows no unit test exercises this except path.","In _update_config replace `except GrafanaAgentReloadError` with `except GrafanaAgentServiceError`, remove the `except APIError` clause (and drop the now-unused ops.pebble.APIError import if nothing else uses it), and surface the failure as an error/raise rather than BlockedStatus since it is not user-actionable. Add a unit test that makes restart() raise GrafanaAgentServiceError and asserts the resulting status/behaviour.","Existing OPEN Type: Bug issue, still reproducible. The buggy block moved from src/charm.py (as quoted in the issue) to src/grafana_agent.py during refactor but is byte-for-byte the same logic, so the issue is current. Note the leftover FIXME on line 645 referencing #19."
canonical/grafana-agent-operator,charm,77,https://github.com/canonical/grafana-agent-operator/issues/77,Docs for refresh_events is incorrect,existing-open-issue,documentation,"good first issue, Type: Documentation",easy,"The cos_agent.py library docstrings show `refresh_events=[""update-status"", ""upgrade-charm""]` (string event names) as the usage example, and COSAgentRequirer type-hints refresh_events as Optional[List[str]]. But the code observes each entry via framework.observe, which requires BoundEvent objects (e.g. self.on.config_changed), so the documented string form raises `RuntimeError: Framework.observe requires a BoundEvent as second parameter`. The docs (prose, example, and type hint) should show event classes, and should note the default is on.config_changed.","Pure documentation/type-hint fix in one library file; no behavioural change; the issue and a follow-up comment spell out exactly what to correct (examples, type hints, and document the config_changed default); ideal for a newcomer learning the ops event model.","lib/charms/grafana_agent/v0/cos_agent.py:114, lib/charms/grafana_agent/v0/cos_agent.py:209, lib/charms/grafana_agent/v0/cos_agent.py:964",inspection,"On VM cos: git clone --depth 80 into ~/work; `grep -n 'refresh_events' lib/charms/grafana_agent/v0/cos_agent.py`; `sed -n '105,120p'` and `sed -n '958,968p'` to read the example and the type hint; `sed -n '673,682p'` to see the observe loop that requires BoundEvents.","Confirmed on HEAD ad6f720. Docstring examples at cos_agent.py:114 and cos_agent.py:209 both show `refresh_events=[""update-status"", ""upgrade-charm""]` (strings). COSAgentRequirer.__init__ type hint at cos_agent.py:964 is `refresh_events: Optional[List[str]] = None`. The init then does (cos_agent.py:680) a loop `for event in self._refresh_events: ... framework.observe(event, ...)`, and self._refresh_events defaults to `[self._charm.on.config_changed]` (cos_agent.py:673) - i.e. BoundEvents, not strings. So the documented string usage would crash exactly as the issue's RuntimeError shows. Observed: docs say strings; expected: event classes (and document the config_changed default).","Update both docstring examples to use event classes, e.g. `refresh_events=[self.on.update_status, self.on.config_changed]`; change the COSAgentRequirer type hint on cos_agent.py:964 from Optional[List[str]] to match the BoundEvent usage (consistent with the Optional[List] used elsewhere at line 39/631); add a sentence noting refresh_events defaults to on.config_changed. Bump LIBPATCH per charm-library convention.",Existing OPEN issue (no Type label upstream but clearly a documentation bug). A maintainer-adjacent comment additionally requests documenting that refresh_events defaults to on.config_changed - captured in the fix hint. Verified still wrong on HEAD.
canonical/grafana-agent-rock,rock,,,goss: add a check that the shipped 'agent' alias binary resolves and runs,self-identified,goss-test-gap,Type: Enhancement; good first issue; testing,easy,"rockcraft.yaml deliberately ships two binaries: /usr/bin/grafana-agent and a /usr/bin/agent alias (created via 'ln -sv /bin/grafana-agent' then organized to usr/bin/agent). The shared root goss.yaml checks the running process and three HTTP endpoints but never verifies that the 'agent' alias actually exists and is runnable, even though the alias is a deliberate, rock-specific addition that could silently break. A beginner can add a file/command check for /usr/bin/agent.",Pure declarative YAML change in goss.yaml; the rock-specific alias is the most likely thing to regress and is currently untested. Clear done-state: a goss file/command check asserting /usr/bin/agent exists and 'agent --version' succeeds. No build knowledge required; validated by 'just test' (kgoss).,goss.yaml,inspection,gh api repos/canonical/grafana-agent-rock/contents/0.44.8/rockcraft.yaml --jq .content | base64 -d | grep -nE 'ln -sv|usr/bin/agent'  (shows the agent alias is created and organized to usr/bin/agent); gh api repos/canonical/grafana-agent-rock/contents/goss.yaml --jq .content | base64 -d  (no file/command check for either binary).,"confirmed-by-inspection: 0.44.8/rockcraft.yaml line 34 'ln -sv /bin/grafana-agent .../opt/agent/bin/agent' + organize 'opt/agent/bin/agent: usr/bin/agent' ship a /usr/bin/agent alias; goss.yaml only has 'process: grafana-agent: running' and three http checks (instances, /-/ready, /-/healthy) with no file: or command: check for /usr/bin/agent (or /usr/bin/grafana-agent).","In goss.yaml add: command: 'agent --version': {exit-status: 0} and/or file: /usr/bin/agent: {exists: true, filetype: symlink, linked-to: /bin/grafana-agent}. Validate with 'just test'.","No version-bump available: 0.44.8/ already pins source-tag v0.44.8, which is the newest upstream tag (grafana/agent tags top out at v0.44.8; the releases/latest API is stale at v0.44.3). README already documents EOL by end of 2026 (migrate to opentelemetry-collector), so deprecation is not an open task."
canonical/grafana-agent-rock,rock,,,goss: assert response body / content on the agent HTTP health and instances endpoints,self-identified,goss-test-gap,Type: Enhancement; good first issue; testing,easy,"The root goss.yaml verifies that three HTTP endpoints return status 200 (/agent/api/v1/metrics/instances, /-/ready, /-/healthy) but never asserts anything about the response bodies. A 200 with empty or error JSON would still pass. A beginner can add 'body' regex assertions (e.g. the /-/healthy endpoint should report the agent is healthy) so the smoke test catches more subtle regressions.","Small, declarative addition to an existing goss check block; the endpoints and expected payloads are easy to discover by curling a running rock. Good introduction to goss 'body' matchers without touching the rockcraft build. Done-state: at least one endpoint has a body assertion and 'just test' passes.",goss.yaml,inspection,"gh api repos/canonical/grafana-agent-rock/contents/goss.yaml --jq .content | base64 -d  (each http entry has only 'status: 200' and 'url:', no 'body:' key).","confirmed-by-inspection: all three goss http checks (instances, ready, healthy) specify only status: 200 and a url; none has a body: matcher, so a 200 response with unexpected content would still pass the smoke test.","Add 'body: [""...""]' regex matchers under the existing http entries in goss.yaml (e.g. the /-/healthy body, which upstream typically returns as a short OK/healthy string). Confirm the exact strings by curling a packed rock, then validate with 'just test'.","Secondary to the 'agent alias' goss check; both are isolated edits to the same shared goss.yaml, which covers all version directories at once. Only open issue (#116) is an auto-generated vulnerability-scan report, not a beginner task."
canonical/grafana-k8s-operator,charm,528,https://github.com/canonical/grafana-k8s-operator/issues/528,Uncaught `FileNotFoundError` in `grafana_version()` when pebble socket closes during pod termination,existing-open-issue,bug,Type: Bug; good first issue,easy,"grafana_version() in src/grafana.py is a TOCTOU race: it guards with self._container.can_connect() (line 92) then calls self._container.exec([...]).wait_output() (line 94) with no exception handling. If the pebble socket closes between the check and the exec (pod termination / SIGTERM), a FileNotFoundError propagates uncaught and puts the unit in error state during config-changed/_reconcile.","Single self-contained method, exact file:line given, and the fix pattern already exists elsewhere in the same file (other methods catch FileNotFoundError/ConnectionError). No architectural knowledge needed; just wrap the exec/wait_output in try/except and return """" (matching the existing not-connected branch).",src/grafana.py:86-100 (grafana_version); caller src/charm.py _reconcile -> set_workload_version,inspection,"multipass exec cos -- bash -lc 'cd ~/work/grafana-k8s-operator && sed -n ""86,100p"" src/grafana.py' ; observe can_connect() guard at line 92 immediately followed by unguarded exec(...).wait_output() at line 94. Compare with line 524 (`except (FileNotFoundError, ProtocolError, PathError)`) and imports at lines 25-31 which already import ConnectionError/APIError, confirming the codebase already handles these elsewhere.","Confirmed by inspection: src/grafana.py line 92 `if not self._container.can_connect(): return """"` then line 94 `version_output, _ = self._container.exec([""grafana-server"", ""-v""]).wait_output()` has NO surrounding try/except. Observed: a FileNotFoundError/ConnectionError raised by exec() after a successful can_connect() check is uncaught. Expected: it should be caught and return """" like the not-connected case. Live race (pod-termination SIGTERM between check and exec) cannot be triggered without mutating the cos model, but the missing guard is unambiguous in code.","Wrap the exec/wait_output call in try/except catching the pebble/OS errors already imported (ConnectionError, APIError) plus FileNotFoundError, returning """" on failure (same as the can_connect() False branch). Mirror the existing handling at src/grafana.py:524.",Issue auto-filed by solutions-qa from log analysis; traceback in body points exactly at grafana.py:94 and charm.py _reconcile -> set_workload_version. Unlabelled in tracker but textbook good-first-issue.
canonical/grafana-k8s-operator,charm,508,https://github.com/canonical/grafana-k8s-operator/issues/508,Incorrect cosl version dependency in grafana_dashboard library,existing-open-issue,bug,Type: Bug; good first issue,easy,"lib/charms/grafana_k8s/v0/grafana_dashboard.py declares PYDEPS = [""cosl >= 0.0.50""] (line 222) but imports `from cosl.types import type_convert_stored` (line 192) and `from cosl import DashboardPath40UID, LZMABase64` (line 191). type_convert_stored / DashboardPath40UID are only available in newer cosl, so a consuming charm that pins an old cosl per PYDEPS will hit ImportError at import time.","One-line metadata fix in a clearly-bounded library: bump the PYDEPS lower bound to the cosl version that actually provides cosl.types.type_convert_stored and cosl.DashboardPath40UID, then bump LIBPATCH. No logic changes.","lib/charms/grafana_k8s/v0/grafana_dashboard.py:191-192 (imports), :222 (PYDEPS), :220 (LIBPATCH)",inspection,"multipass exec cos -- bash -lc 'cd ~/work/grafana-k8s-operator && grep -n ""cosl\|PYDEPS\|type_convert_stored\|DashboardPath40UID\|LIBPATCH"" lib/charms/grafana_k8s/v0/grafana_dashboard.py | head'","Confirmed by inspection: line 191 `from cosl import DashboardPath40UID, LZMABase64`, line 192 `from cosl.types import type_convert_stored`, but line 222 `PYDEPS = [""cosl >= 0.0.50""]`. Observed: declared dependency floor (0.0.50) is far below the cosl version that introduced cosl.types.type_convert_stored / DashboardPath40UID. A charm honouring PYDEPS with an old cosl gets ImportError. (Note: current floor 0.0.50 is even lower than the >=0.5.0 quoted in the issue body, so the mismatch is real and arguably worse than reported.) Expected: PYDEPS floor >= the cosl release providing those symbols.","Raise PYDEPS lower bound to the cosl release that first ships cosl.types.type_convert_stored and cosl.DashboardPath40UID (issue cites ~1.3.0; verify against cosl changelog), then bump LIBPATCH (line 220) since lib metadata changed.",Library-internal fix; affects downstream charms that vendor this lib. Verify the precise cosl version against the cosl package before finalising the bound.
canonical/grafana-rock,rock,94,https://github.com/canonical/grafana-rock/issues/94,Update the `grafana-ui` part build recipe to be closer to upstream,existing-open-issue,build,Type: Enhancement; good first issue,medium,"The grafana-ui part in rockcraft.yaml cannot run upstream's recommended 'yarn install --immutable' because, inside LXD, yarn 4 fails with EINVAL when a dependency is pinned to a git commit in yarn.lock (e.g. react-data-grid pinned to a commit). The current workaround sed-rewrites that one pinned dep to a tarball URL before 'yarn install'. The issue asks to make the recipe more robust/closer to upstream so it does not break the next time a different dep is pinned to a git commit.","Maintainer-filed, scoped to a single override-build block in one file, with reproduction steps, the exact error, and links to the upstream yarn/LXD bugs. A newcomer comfortable with yarn/Node can generalize the sed hack (or adjust yarn config / use the upstream tarball flow). Honest caveat: root cause touches an LXD kernel-feature discrepancy, so a full fix may be involved; difficulty marked medium rather than trivially easy.",12.4.2/rockcraft.yaml (grafana-ui part override-build); same block in newer version dirs (11.x/12.x),inspection,"gh issue view 94 -R canonical/grafana-rock; gh api repos/canonical/grafana-rock/contents/12.4.2/rockcraft.yaml --jq .content | base64 -d | sed -n '36,70p'  (shows the commented-out 'yarn install --immutable' and the sed workaround that rewrites grafana/react-data-grid#<commit> to a github archive tarball before 'yarn install').","confirmed-by-inspection: 12.4.2/rockcraft.yaml grafana-ui part comments out '#yarn install --immutable' and instead hardcodes COMMIT=a10c748f40edc538425b458af4e471a8262ec4ed plus a sed rewrite of grafana/react-data-grid#${COMMIT} to a tarball URL, then runs 'yarn install'. This matches issue #94's description that the immutable install fails under LXD on git-commit-pinned deps and the workaround only handles a single pinned dep.","Generalize the rewrite to handle ANY 'github.com/<org>/<repo>#commit=<sha>' or '...#<sha>' entry in yarn.lock/package.json (loop instead of a single hardcoded COMMIT), or switch to yarn's supportedArchitectures/npmRegistryServer config, or follow upstream's tarball-resolution flow. Validate by packing in a Multipass VM (issue notes Multipass succeeds where LXD fails).","Real maintainer issue (no label, 0 comments, unclaimed). Related upstream bugs linked in the issue: lxd#18014 and yarnpkg/berry#3500. The same grafana-ui recipe is duplicated across version dirs, so a robust fix would ideally be applied to the newest ones. Other 3 open issues are auto-generated vulnerability-scan reports."
canonical/grafana-rock,rock,,,Bump Grafana rock to upstream v13.0.2 (newest dir pins v12.4.2),self-identified,version-bump,Type: Enhancement; good first issue,easy,"The newest version directory in the repo is 12.4.2/, whose rockcraft.yaml builds Grafana from source-tag v12.4.2. Upstream grafana/grafana has since released the v13.x line, with v13.0.2 as the latest stable. A beginner can add a new version directory copying the 12.4.2 layout and bumping version and the two source-tag references to v13.0.2, following the repo's established per-version pattern.","Mechanical change matching an existing pattern (16 version dirs from 9.5.3 to 12.4.2). Mostly copy-the-latest-dir and change version strings; CI/kgoss validates. Definition of done is clear. NOTE: the grafana-ui build (issue #94) may need attention for v13, so the bumper should expect to also adjust the yarn workaround.",13.0.2/rockcraft.yaml (new); 13.0.2/<config + spread files> (new); README.md supported-versions wording,inspection,"gh api repos/canonical/grafana-rock/contents --jq '.[]|select(.type==""dir"")|.name'  (newest = 12.4.2); gh api repos/canonical/grafana-rock/contents/12.4.2/rockcraft.yaml --jq .content | base64 -d | grep -E 'version:|source-tag:'; gh api repos/grafana/grafana/releases/latest --jq .tag_name (and tags list).","confirmed-by-inspection: 12.4.2/rockcraft.yaml pins version: ""12.4.2"" and source-tag: v12.4.2 (twice: grafana and grafana-ui parts), and 12.4.2 is the newest version directory; upstream grafana/grafana releases/latest is v13.0.2 (stable tags include v13.0.0/1/2 and v12.4.3/12.4.4), so the rock trails the latest upstream by a major version.","Copy 12.4.2/ to 13.0.2/; set version: ""13.0.2"" and both source-tag references to v13.0.2; keep base ubuntu@26.04 and license AGPL-3.0. Be prepared to update the grafana-ui yarn workaround per issue #94 since v12+ is where the git-commit-pinned-dep problem appears. A smaller interim bump to v12.4.4 (same minor line) is also possible. Validate with CI/kgoss.","An update.yaml automation exists to raise version-bump PRs, but the newest dir is still 12.4.2 while v13 is out. This bump is coupled to issue #94 (grafana-ui recipe), so it is slightly less trivial than a pure tag bump."
canonical/istio-beacon-k8s-operator,charm,166,https://github.com/canonical/istio-beacon-k8s-operator/issues/166,config-changed hook crashes with unhandled 404 when Kubernetes Gateway API CRDs are absent,existing-open-issue,bug,Type: Bug; good first issue,medium,"On config-changed, the charm reconciles waypoint resources via KubernetesResourceManager.reconcile(), which lists existing labelled gateway.networking.k8s.io/v1 objects to compute a delta. When the Kubernetes Gateway API CRDs are not installed, that list raises an uncaught httpx.HTTPStatusError 404 and the charm goes to error state (retrying every few minutes) instead of a friendly blocked status like 'Kubernetes Gateway API CRDs not available'.","Clear, well-scoped bug with an exact error/traceback supplied by QA, and an obvious correct behaviour (catch the missing-CRD 404 and set BlockedStatus). The codebase already has the pattern to imitate: _is_waypoint_deployment_ready catches lightkube ApiError at src/charm.py:306. A beginner adds a guard around the gateway reconcile path. Slightly above trivial only because faithful repro needs a cluster without the Gateway CRDs.",src/charm.py:490 (krm.reconcile(resources_list) in _sync_waypoint_resources) and src/charm.py:461 (prm.reconcile) reached from _sync_all_resources (src/charm.py:318/335); gateway resource def src/charm.py:69-70; no CRD/404 guard exists anywhere in src/charm.py,integration-REPRODUCED-live,"PLAN (do NOT run on the live cos VM): 1) On a cluster WITHOUT the Gateway API CRDs (no gateway.networking.k8s.io), juju deploy istio-beacon-k8s --trust (do not deploy istio-k8s which would install the CRDs). 2) Trigger config-changed (e.g. juju config istio-beacon-k8s ...). 3) Observe juju debug-log: 'httpx.HTTPStatusError: Client error 404 Not Found for url .../apis/gateway.networking.k8s.io/v1/gateways?labelSelector=...kubernetes-resource-handler-scope=istio-waypoint' and the unit in error state. Expected after fix: BlockedStatus 'Kubernetes Gateway API CRDs not available'.","LIVE-REPRODUCED 2026-06-16 (cos VM, throwaway model, no Gateway CRDs): deploy istio-beacon-k8s 1/edge --trust -> hook failed config-changed; httpx 404 on /apis/gateway.networking.k8s.io/v1/gateways, unhandled in _sync_waypoint_resources. || needs-live-deploy (flagged for orchestrator). Static evidence confirms the bug is present and unfixed: grep for 'CRD|404|HTTPStatusError|status_code|not available' in src/charm.py returns NONE -> no missing-CRD handling exists. The unguarded path is src/charm.py:490 krm.reconcile(resources_list) (KubernetesResourceManager lists gateway.networking.k8s.io/v1 to diff), called from _sync_waypoint_resources <- _sync_all_resources (config-changed handler). The only ApiError catch (src/charm.py:306) guards the Deployment .get, not the gateway list, matching the 404-on-gateways URL in the issue. Baseline tox -e unit PASSED (exit 0).","Wrap the gateway-listing reconcile (krm.reconcile in _sync_waypoint_resources, and likely prm.reconcile) in try/except for lightkube ApiError / httpx.HTTPStatusError; when status_code == 404 for the Gateway API group, set ops.BlockedStatus('Kubernetes Gateway API CRDs not available') and return instead of propagating. Reuse the existing ApiError-handling style at src/charm.py:306. Add a unit test using the scenario/harness mock to simulate the 404.",Real open bug filed by canonical/solutions-qa against rev 34 / channel 1/stable; manual triage but the traceback is genuine. Integration-escalation: faithful repro requires a cluster lacking the Gateway CRDs; the shared live cos model must not be used.
canonical/istio-beacon-k8s-operator,charm,42,https://github.com/canonical/istio-beacon-k8s-operator/issues/42,Charm can go to active without metrics-proxy being alive,existing-open-issue,bug,Type: Bug; good first issue,easy,"_sync_all_resources() calls _setup_proxy_pebble_service() and then unconditionally sets ActiveStatus(). But _setup_proxy_pebble_service() returns early (does nothing) when the metrics-proxy container cannot connect, and swallows ChangeError on replan. So the charm reports Active even when the metrics-proxy Pebble service was never set up / started.","Small, localized status-logic fix in a single method with an unambiguous DoD ('Active only if metrics-proxy is working'). The existing code already exposes the can_connect()/replan failure points, so the fix is to surface them as WaitingStatus/BlockedStatus instead of silently continuing. Easily unit-testable with the existing scenario tests.","src/charm.py:318-344 (_sync_all_resources sets ActiveStatus at line 344 after line 339 call); src/charm.py:172-198 (_setup_proxy_pebble_service: early return at line 176 when !can_connect, ChangeError swallowed at ~line 197)",integration-assessed,"PLAN (do NOT run on the live cos VM): 1) Deploy istio-beacon-k8s on a mesh model. 2) Make the metrics-proxy container unavailable / its pebble socket unreachable (e.g. before the workload container is up, or kill the proxy service) so proxy_container.can_connect() is False during config-changed. 3) Observe juju status reports active even though `juju exec --unit istio-beacon-k8s/0 -- PEBBLE_SOCKET=... /charm/bin/pebble services` shows metrics-proxy not running. Expected after fix: status is Waiting/Blocked, not Active.","LIVE-ASSESSED 2026-06-16: not force-reproduced (needs istio installed + manually stopping the metrics-proxy pebble service; avoided repeat istio cluster-webhook churn on the shared cos node). Code-confirmed. || needs-live-deploy (flagged for orchestrator). Confirmed by code inspection that the defect is present: src/charm.py:339 calls self._setup_proxy_pebble_service(); src/charm.py:344 sets self.unit.status = ActiveStatus() with no check of proxy health in between. _setup_proxy_pebble_service (src/charm.py:172) returns at src/charm.py:176 ('if not proxy_container.can_connect(): return') without signalling failure, and the replan ChangeError is only logged (src/charm.py:196-198), so a failed/absent metrics-proxy still yields ActiveStatus. (Issue text says the method 'can return False'; the code has since drifted to return None, but the root cause -- no status check after setup -- is unchanged.) Baseline tox -e unit PASSED (exit 0).","Make _setup_proxy_pebble_service return a bool (or raise) indicating whether the service is up (False on !can_connect and on ChangeError), then in _sync_all_resources gate ActiveStatus on it: if proxy not ready, set ops.WaitingStatus('metrics-proxy not ready') and return before ActiveStatus. Add/extend a scenario unit test asserting non-Active status when the metrics-proxy container cannot connect.","Real open Type: Bug with a precise file:line pointer in the issue. Minor drift: _setup_proxy_pebble_service now returns None rather than False, but the missing post-setup status check remains the bug. Repro tier is integration because asserting the runtime status mismatch needs a deployed unit with a broken proxy container; the static evidence above is exact."
